AXP,American Express Company
BA,The Boeing Company
CAT,Caterpillar Inc.
CSCO,Cisco Systems Inc.
CVX,Chevron Corporation
DD,E. I. du Pont de Nemours and Company
DIS,The Walt Disney Company
GE,General Electric Company
GS,The Goldman Sachs Group Inc.
HD,The Home Depot Inc.
IBM,International Business Machines Corporation
INTC,Intel Corporation
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KO,The Coca-Cola Company
MCD,McDonald's Corp.
MMM,3M Company
MRK,Merck & Co. Inc.
MSFT,Microsoft Corporation
NKE,Nike Inc.
PFE,Pfizer Inc.
PG,The Procter & Gamble Company
T,AT&T Inc.
TRV,The Travelers Companies Inc.
UNH,UnitedHealth Group Incorporated
UTX,United Technologies Corp.
V,Visa Inc.
VZ,Verizon Communications Inc.
WMT,Wal-Mart Stores Inc.
XOM,Exxon Mobil Corporation
